Occupation,Low,Mid-Low,Average,Mid-High,High,Cincinnati ,Degreed
Total - All Occupations,29100,36600,49800,75300,111300,1156201.241,High School/Trades
Chief Executives,87700,137000,220900,315600,425500,1721.655627,Bachelor's degree
General and Operations Managers,49000,68100,104600,158200,223800,29055.96462,Bachelor's degree
Legislators,23300,25500,37300,78800,137800,361.6681886,Bachelor's degree
Advertising and Promotions Managers,67100,86900,105200,120100,153700,76.16850413,Bachelor's degree
Marketing Managers,82400,106300,142300,185100,225200,1982.642392,Bachelor's degree
Sales Managers,70700,94800,139700,189100,254800,3551.161729,Bachelor's degree
Public Relations Managers,66600,96500,122900,164900,203400,264.3345895,Bachelor's degree
Fundraising Managers,70800,88100,110800,146000,189400,198.8062382,Bachelor's degree
Administrative Services Managers,63200,78300,101800,136000,174600,1510.792785,Bachelor's degree
Facilities Managers,62600,79000,100400,128600,156400,996.4842394,Bachelor's degree
Computer and Information Systems Managers,103900,134100,170100,198000,237000,2868.003811,Bachelor's degree
Financial Managers,84900,111200,146200,193300,260500,6169.255843,Bachelor's degree
Industrial Production Managers,70000,87500,111600,142700,179700,2428.938093,Bachelor's degree
Purchasing Managers,86100,110300,141700,171300,208900,587.4648507,Bachelor's degree
"Transportation, Storage, and Distribution Managers",62900,79900,102900,134100,169500,1805.07129,High School/Trades
Compensation and Benefits Managers,98700,115100,149400,189400,231000,82.06239861,Bachelor's degree
Human Resources Managers,81800,101900,134700,174800,234300,1395.394935,Bachelor's degree
Training and Development Managers,71800,87200,112500,135400,172700,204.8743223,Bachelor's degree
"Farmers, Ranchers, and Other Agricultural Managers",46600,61200,79500,103000,127900,2743.490492,High School/Trades
Construction Managers,62700,76700,100800,130100,154000,3334.417127,Bachelor's degree
"Education and Childcare Administrators, Preschool and Daycare",37200,40400,46600,59100,78100,555.6981028,Bachelor's degree
"Education Administrators, Kindergarten through Secondary",64700,83300,103400,121000,138100,2104.862283,Master's degree
"Education Administrators, Postsecondary",60400,67200,105100,146700,211100,1175.866257,Master's degree
"Education Administrators, All Other",45300,51100,64300,83100,102500,361.2766446,Bachelor's degree
Architectural and Engineering Managers,115300,141400,171600,200800,236200,1401.964267,Bachelor's degree
Food Service Managers,39300,50800,62700,76500,93800,3089.423346,High School/Trades
Gambling Managers,50700,65100,82500,111800,152600,34.863429,High School/Trades
"Entertainment and Recreation Managers, Except Gambling",37800,47000,58900,71700,104000,271.175253,Bachelor's degree
Lodging Managers,38000,43300,53300,74000,101900,281.7609727,High School/Trades
Medical and Health Services Managers,69300,87600,112000,146300,190500,4110.370465,Bachelor's degree
Natural Sciences Managers,65900,89700,133200,163400,190400,246.1506118,Bachelor's degree
Postmasters and Mail Superintendents,85700,89700,94600,104500,119700,118.9687561,High School/Trades
"Property, Real Estate, and Community Association Managers",40900,50600,62000,77600,106700,2906.620047,High School/Trades
Social and Community Service Managers,46700,54500,72100,87400,113000,918.75292,Bachelor's degree
Emergency Management Directors,52100,65700,89400,132900,170700,54.32300227,Bachelor's degree
Funeral Home Managers,45900,63400,82600,107400,126000,131.748785,High School/Trades
"Personal Service Managers, All Other",47000,49200,51800,58100,109600,153.7223161,High School/Trades
"Managers, All Other",74800,105300,139700,176900,218500,5762.001695,Bachelor's degree
"Agents and Business Managers of Artists, Performers, and Athletes",50300,66100,89300,133200,236700,49.28585083,Bachelor's degree
"Buyers and Purchasing Agents, Farm Products",44500,56800,74600,93500,115900,113.0340595,Bachelor's degree
"Wholesale and Retail Buyers, Except Farm Products",44500,56900,74600,93500,115900,1161.299031,Bachelor's degree
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",44500,56800,74600,93500,115900,2834.901459,Bachelor's degree
"Claims Adjusters, Examiners, and Investigators",47500,58400,78500,90500,103400,1810.129437,High School/Trades
"Insurance Appraisers, Auto Damage",55400,61900,71400,79700,94700,71.58225594,High School/Trades
Compliance Officers,50300,63100,81700,104700,129100,2333.226738,Bachelor's degree
Cost Estimators,46400,60200,77000,97200,122600,1704.997465,Bachelor's degree
Human Resources Specialists,40900,52000,67100,87100,112400,6801.927948,Bachelor's degree
Farm Labor Contractors,26700,32300,44900,62100,85500,1.932915445,High School/Trades
Labor Relations Specialists,53400,67700,84800,97400,120200,509.2398871,Bachelor's degree
Logisticians,51500,63300,81400,101500,129600,1858.759504,Bachelor's degree
Project Management Specialists,57700,71800,94600,120800,142000,6292.454535,Bachelor's degree
Management Analysts,61900,69800,88400,118600,145500,5940.188084,Bachelor's degree
"Meeting, Convention, and Event Planners",34300,43200,54200,71500,87800,937.0198836,Bachelor's degree
Fundraisers,41100,44500,64400,84500,107600,787.6082055,Bachelor's degree
"Compensation, Benefits, and Job Analysis Specialists",50800,64300,78900,97700,114800,571.7561792,Bachelor's degree
Training and Development Specialists,34700,47800,66200,85000,107400,2860.797714,Bachelor's degree
Market Research Analysts and Marketing Specialists,43400,54100,72900,101700,132700,5976.554762,Bachelor's degree
"Business Operations Specialists, All Other",42100,54200,72500,99600,129600,6221.093503,Bachelor's degree
Accountants and Auditors,51300,63900,81400,104200,132800,10238.70703,Bachelor's degree
Appraisers of Personal and Business Property,37200,45300,68900,93500,121900,19.24781093,Bachelor's degree
Appraisers and Assessors of Real Estate,37200,45300,68900,93500,121900,425.9288314,Bachelor's degree
Budget Analysts,63100,72900,84100,105400,126500,203.9371056,Bachelor's degree
Credit Analysts,52600,61600,75600,105500,165100,654.567996,Bachelor's degree
Financial and Investment Analysts,55300,68500,86000,107000,139000,2095.191606,Bachelor's degree
Personal Financial Advisors,49000,69900,105500,176600,245500,2394.40575,Bachelor's degree
Insurance Underwriters,51400,65300,81200,103100,124600,1024.096445,Bachelor's degree
Financial Risk Specialists,65900,82000,105700,144400,155100,421.128948,Bachelor's degree
Financial Examiners,50400,65800,86600,109300,142500,755.0419468,Bachelor's degree
Credit Counselors,40500,43300,50700,64200,86500,151.2016524,Bachelor's degree
Loan Officers,40800,52600,68400,103200,137600,2448.515403,Bachelor's degree
"Tax Examiners and Collectors, and Revenue Agents",46200,53100,61400,71700,105000,902.531415,Bachelor's degree
Tax Preparers,29000,35400,50300,60500,87300,426.2172674,High School/Trades
"Financial Specialists, All Other",49900,63300,78400,102400,129700,937.9451022,Bachelor's degree
Computer Systems Analysts,68000,84700,106300,130700,158400,3620.783627,Bachelor's degree
Information Security Analysts,67800,87000,110000,140200,171500,1237.939852,Bachelor's degree
Computer and Information Research Scientists,81800,108700,141200,178900,222500,63.98083932,Master's degree
Computer Network Support Specialists,43200,54000,69500,90000,114700,1595.129254,High School/Trades
Computer User Support Specialists,40400,48000,56700,72400,88300,4645.420114,High School/Trades
Computer Network Architects,81900,108400,135800,165600,188300,1055.480533,Bachelor's degree
Database Administrators,54700,71700,103200,133700,149400,473.1326426,Bachelor's degree
Database Architects,79600,102500,129300,137200,158200,409.1483285,Bachelor's degree
Network and Computer Systems Administrators,65100,84600,111400,141400,163700,3602.858083,Bachelor's degree
Computer Programmers,59200,80200,110300,133700,168800,604.2642935,Bachelor's degree
Software Developers,78300,93500,114400,139000,164400,8374.220423,Bachelor's degree
Software Quality Assurance Analysts and Testers,59900,74900,87600,105400,126300,1022.236011,Bachelor's degree
Web Developers,52000,64000,84200,117100,139600,394.859501,Bachelor's degree
Web and Digital Interface Designers,48900,65300,86300,124300,156000,608.245575,Bachelor's degree
"Computer Occupations, All Other",50100,67100,100200,132300,160400,1580.392687,Bachelor's degree
Actuaries,80700,86100,109100,159400,179000,258.2291177,Bachelor's degree
Mathematicians,62700,81600,112400,142200,174400,11.33908601,Master's degree
Operations Research Analysts,63600,73700,89200,113600,136500,802.1153854,Bachelor's degree
Statisticians,63600,78600,105000,120400,142400,86.36037751,Master's degree
Data Scientists,62300,82100,107000,132200,148600,1155.105648,Bachelor's degree
"Mathematical Science Occupations, All Other",39300,50700,70200,97700,147900,14.06801975,Bachelor's degree
"Architects, Except Landscape and Naval",54700,68400,99800,128200,147700,767.7444352,Bachelor's degree
Landscape Architects,38600,42700,63600,90300,106200,134.3121472,Bachelor's degree
Cartographers and Photogrammetrists,50200,62100,78000,96900,114600,38.56765039,Bachelor's degree
Surveyors,42800,52400,66700,94500,106400,284.4089578,Bachelor's degree
Aerospace Engineers,82200,108500,137300,148300,178200,1057.834267,Bachelor's degree
Agricultural Engineers,64700,81200,91300,103800,128100,11.73042219,Bachelor's degree
Bioengineers and Biomedical Engineers,66000,85000,110400,128000,169400,109.5945793,Bachelor's degree
Chemical Engineers,79800,95600,117200,148300,168100,213.5773811,Bachelor's degree
Civil Engineers,63600,72400,89100,112200,136600,1729.168336,Bachelor's degree
Computer Hardware Engineers,52900,82300,88400,92700,110100,228.1525027,Bachelor's degree
Electrical Engineers,76700,86600,109600,131800,162200,1424.991193,Bachelor's degree
"Electronics Engineers, Except Computer",67000,83900,109400,136500,166300,626.0518179,Bachelor's degree
Environmental Engineers,69100,88200,114100,136600,155900,288.3797685,Bachelor's degree
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",52100,76200,102000,128800,149300,137.5481519,Bachelor's degree
Industrial Engineers,73800,86200,107600,131700,146500,3488.34781,Bachelor's degree
Marine Engineers and Naval Architects,78500,84200,103500,129700,158600,29.68611806,Bachelor's degree
Materials Engineers,66700,83900,111000,142800,174700,430.8146465,Bachelor's degree
Mechanical Engineers,71700,84800,107100,134000,159700,2531.981458,Bachelor's degree
"Mining and Geological Engineers, Including Mining Safety Engineers",59100,84500,108500,123600,138300,32.03910069,Bachelor's degree
Nuclear Engineers,84600,103100,127100,145500,174200,29.86977314,Bachelor's degree
Petroleum Engineers,80900,107900,140200,180900,228200,55.53595564,Bachelor's degree
"Engineers, All Other",67100,86800,109600,141200,167700,1111.621615,Bachelor's degree
Architectural and Civil Drafters,42300,53300,66100,79300,109100,679.9431795,High School/Trades
Electrical and Electronics Drafters,51300,58900,77100,86000,109500,165.7563208,High School/Trades
Mechanical Drafters,49900,55300,68600,84400,102800,433.8257985,High School/Trades
"Drafters, All Other",41600,46100,55400,67400,86100,121.9199758,High School/Trades
Aerospace Engineering and Operations Technologists and Technicians,50200,65700,80600,91600,106700,286.1040265,High School/Trades
Civil Engineering Technologists and Technicians,41000,48300,60500,69300,81000,424.0789485,High School/Trades
Electrical and Electronic Engineering Technologists and Technicians,50600,61200,76700,86900,105600,534.0662855,High School/Trades
Electro-Mechanical and Mechatronics Technologists and Technicians,54300,58700,64800,85700,99700,132.7777392,High School/Trades
Environmental Engineering Technologists and Technicians,39500,47800,53900,62700,92500,136.9656037,High School/Trades
Industrial Engineering Technologists and Technicians,42600,53200,66300,79100,93000,849.2400517,High School/Trades
Mechanical Engineering Technologists and Technicians,49400,54400,68200,84200,89400,336.7702975,High School/Trades
Calibration Technologists and Technicians,50800,54800,65100,86900,97800,111.7955004,High School/Trades
"Engineering Technologists and Technicians, Except Drafters, All Other",40800,47200,55300,73100,89000,336.0115468,High School/Trades
Surveying and Mapping Technicians,41000,46300,52600,68000,79300,314.7472323,High School/Trades
Animal Scientists,48100,55700,73200,105400,161100,13.92273781,Bachelor's degree
Food Scientists and Technologists,46600,49000,62300,89000,120800,131.560058,Bachelor's degree
Soil and Plant Scientists,35500,38900,50100,58500,89400,80.75897356,Bachelor's degree
Biochemists and Biophysicists,51700,65100,83500,93000,110100,157.0407477,Doctoral or professional degree
Microbiologists,41500,55100,83600,129700,164600,132.5820602,Bachelor's degree
Zoologists and Wildlife Biologists,46600,57600,70900,87900,108700,47.68138949,Bachelor's degree
"Biological Scientists, All Other",52500,63600,81400,105500,118700,134.1525564,Bachelor's degree
Conservation Scientists,46700,49500,63900,90000,144500,84.33826229,Bachelor's degree
Foresters,66000,83400,86500,89000,92100,38.47365952,Bachelor's degree
Epidemiologists,57300,61500,69200,84500,89300,42.78318144,Master's degree
"Medical Scientists, Except Epidemiologists",54700,72400,85400,113000,163000,515.0706079,Doctoral or professional degree
"Life Scientists, All Other",52300,66600,89100,128000,170400,47.14069537,Bachelor's degree
Astronomers,58500,87100,127000,167500,181700,12.50328604,Doctoral or professional degree
Physicists,74300,111900,147300,212400,261900,127.3407615,Doctoral or professional degree
Atmospheric and Space Scientists,50800,69700,93700,124300,155300,49.05072946,Bachelor's degree
Chemists,52200,65300,85800,107100,136300,768.9819409,Bachelor's degree
Materials Scientists,63000,79400,98200,106400,128100,64.75108359,Bachelor's degree
"Environmental Scientists and Specialists, Including Health",50100,60900,82200,97500,130300,406.191948,Bachelor's degree
"Geoscientists, Except Hydrologists and Geographers",56500,62800,85300,106800,126700,94.07341797,Bachelor's degree
Hydrologists,58400,70500,89500,114300,140100,36.77270248,Bachelor's degree
"Physical Scientists, All Other",74200,90800,129700,163200,188000,162.0210049,Bachelor's degree
Economists,51300,62400,110500,140700,173400,53.11880178,Master's degree
Survey Researchers,31800,42500,61200,81100,105800,30.1006103,Master's degree
Industrial-Organizational Psychologists,48600,92700,147500,210100,221300,54.62235498,Master's degree
Clinical and Counseling Psychologists,48100,76100,116500,151300,201600,305.432651,Doctoral or professional degree
School Psychologists,54300,86000,103500,114700,133900,400.9463199,Master's degree
"Psychologists, All Other",38700,95300,121700,135600,142500,299.6342322,Master's degree
Sociologists,61200,77200,101800,133300,162300,20.89282926,Master's degree
Urban and Regional Planners,52300,66300,83800,104200,117600,148.597284,Master's degree
Anthropologists and Archeologists,44400,51500,64300,81700,100700,27.40182869,Master's degree
Geographers,60400,71300,90300,108800,125000,5.405216293,Bachelor's degree
Historians,36800,52500,72500,92900,121400,15.37916677,Master's degree
Political Scientists,73900,97500,131000,163800,181000,19.90600306,Master's degree
"Social Scientists and Related Workers, All Other",51400,63200,82100,101400,121900,247.5688251,Bachelor's degree
Agricultural Technicians,31200,36800,43600,53100,64700,75.40400746,High School/Trades
Food Science Technicians,41800,49000,69600,78300,82300,110.3860188,High School/Trades
Biological Technicians,44200,52200,55800,69100,81000,573.1239487,Bachelor's degree
Chemical Technicians,41100,50600,57000,67300,80700,533.608287,High School/Trades
"Environmental Science and Protection Technicians, Including Health",35400,38900,51300,60500,68400,180.1503177,High School/Trades
"Geological Technicians, Except Hydrologic Technicians",35600,44100,54300,74800,108000,38.93207682,High School/Trades
Hydrologic Technicians,38500,45700,56600,75600,90800,13.0415606,High School/Trades
Nuclear Technicians,63000,76500,98900,110100,125200,13.72458617,High School/Trades
Social Science Research Assistants,34800,46800,57000,82000,95800,174.7237083,Bachelor's degree
Forest and Conservation Technicians,26200,31800,35100,47100,80600,60.45489798,High School/Trades
Forensic Science Technicians,44700,52800,69900,88500,111900,66.6534282,Bachelor's degree
"Life, Physical, and Social Science Technicians, All Other",38000,40500,47600,59700,69600,494.8678301,High School/Trades
Occupational Health and Safety Specialists,48500,65100,84600,104500,131200,1091.51728,Bachelor's degree
Occupational Health and Safety Technicians,45000,51300,63100,74600,80800,217.5843778,High School/Trades
"Educational, Guidance, and Career Counselors and Advisors",43800,52400,65700,85300,103100,2180.431313,Master's degree
Marriage and Family Therapists,49100,53500,59800,67500,84500,186.0009877,Master's degree
Rehabilitation Counselors,33600,39000,45100,60200,80200,613.3065837,Master's degree
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",39800,48300,55200,67500,86000,3335.37626,High School/Trades
"Counselors, All Other",33800,43100,48000,50300,54400,282.4943372,Master's degree
"Child, Family, and School Social Workers",40200,44100,50000,57100,67900,2115.196751,Bachelor's degree
Healthcare Social Workers,47100,55700,67400,80300,88500,1416.380947,Master's degree
Mental Health and Substance Abuse Social Workers,39500,41700,47500,59100,75000,957.1433838,Master's degree
"Social Workers, All Other",38800,47400,65500,84800,101900,383.6777501,Bachelor's degree
Health Education Specialists,41300,51700,68700,87500,103900,355.1982515,Bachelor's degree
Probation Officers and Correctional Treatment Specialists,41800,54100,68000,79900,107000,287.9724758,Bachelor's degree
Social and Human Service Assistants,31700,36600,42500,52100,63500,2241.028035,High School/Trades
Community Health Workers,37300,41500,50700,60300,76600,349.8716429,High School/Trades
"Community and Social Service Specialists, All Other",29800,31200,42900,49800,63700,301.2983579,Bachelor's degree
Clergy,33200,43200,56000,74500,85100,2080.585916,Bachelor's degree
"Directors, Religious Activities and Education",31100,40500,51000,66400,94800,1184.434049,Bachelor's degree
"Religious Workers, All Other",24400,29100,38700,46000,51500,643.7856981,Bachelor's degree
Lawyers,75100,97100,136800,191100,265100,4288.832743,Doctoral or professional degree
Judicial Law Clerks,49000,59000,62100,75000,91400,24.89419311,Doctoral or professional degree
"Administrative Law Judges, Adjudicators, and Hearing Officers",79300,90200,110000,149900,202800,75.91983968,Doctoral or professional degree
"Arbitrators, Mediators, and Conciliators",37100,51300,69800,101700,142500,30.13672234,Bachelor's degree
"Judges, Magistrate Judges, and Magistrates",64400,107700,147500,173200,210000,220.9301952,Doctoral or professional degree
Paralegals and Legal Assistants,42700,49200,62200,67600,84200,1777.947497,High School/Trades
"Title Examiners, Abstractors, and Searchers",39000,43000,52700,64400,75800,340.7676548,High School/Trades
"Legal Support Workers, All Other",37600,47500,71000,114000,161400,132.7199575,High School/Trades
"Business Teachers, Postsecondary",51800,71700,92000,142000,183800,760.1429008,Doctoral or professional degree
"Computer Science Teachers, Postsecondary",39000,63200,86700,113100,144800,179.7525875,Doctoral or professional degree
"Mathematical Science Teachers, Postsecondary",51100,66200,84400,107300,147900,253.1467038,Doctoral or professional degree
"Architecture Teachers, Postsecondary",63300,83000,108600,136300,175100,42.72958364,Doctoral or professional degree
"Engineering Teachers, Postsecondary",63400,85400,110800,142900,200600,275.4414081,Doctoral or professional degree
"Agricultural Sciences Teachers, Postsecondary",51600,67000,88300,113200,150900,25.88700778,Doctoral or professional degree
"Biological Science Teachers, Postsecondary",56600,66200,86500,106500,135000,222.1224118,Doctoral or professional degree
"Forestry and Conservation Science Teachers, Postsecondary",60300,82700,102700,119800,141500,9.584043811,Doctoral or professional degree
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54800,69400,103800,138900,196000,34.94856936,Doctoral or professional degree
"Chemistry Teachers, Postsecondary",63400,68200,86700,109600,130500,111.3297125,Doctoral or professional degree
"Environmental Science Teachers, Postsecondary",53800,69200,92100,129000,167900,44.84262644,Doctoral or professional degree
"Physics Teachers, Postsecondary",36300,61900,86300,109400,167900,78.65138851,Doctoral or professional degree
"Anthropology and Archeology Teachers, Postsecondary",54400,70800,96700,128700,172800,12.06745539,Doctoral or professional degree
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",54300,68700,89600,115300,170500,52.07217969,Doctoral or professional degree
"Economics Teachers, Postsecondary",61400,86300,120300,172200,224000,48.49026543,Doctoral or professional degree
"Geography Teachers, Postsecondary",53500,69500,88800,112300,155800,23.0574033,Doctoral or professional degree
"Political Science Teachers, Postsecondary",54000,69400,97000,130700,173900,79.80188224,Doctoral or professional degree
"Psychology Teachers, Postsecondary",50000,64900,85600,105800,124800,215.0212008,Doctoral or professional degree
"Sociology Teachers, Postsecondary",36200,53300,80700,101400,109400,86.31395508,Doctoral or professional degree
"Social Sciences Teachers, Postsecondary, All Other",46500,62300,81400,110100,170800,52.14845769,Doctoral or professional degree
"Health Specialties Teachers, Postsecondary",69600,106300,187700,254000,324100,1237.29942,Doctoral or professional degree
"Nursing Instructors and Teachers, Postsecondary",54000,66200,80700,102800,123100,517.9657782,Doctoral or professional degree
"Education Teachers, Postsecondary",41700,53800,70900,89400,111700,480.2345916,Doctoral or professional degree
"Library Science Teachers, Postsecondary",55700,66900,82900,104000,132100,20.22788157,Doctoral or professional degree
"Criminal Justice and Law Enforcement Teachers, Postsecondary",48900,59000,72800,105200,137200,68.29545421,Doctoral or professional degree
"Law Teachers, Postsecondary",44000,71500,107900,144200,182000,51.10554479,Doctoral or professional degree
"Social Work Teachers, Postsecondary",48300,56000,76900,98400,128000,147.9346571,Doctoral or professional degree
"Art, Drama, and Music Teachers, Postsecondary",41500,54900,70200,86000,107800,587.3142009,Master's degree
"Communications Teachers, Postsecondary",49000,54600,70200,89000,108700,210.6911386,Doctoral or professional degree
"English Language and Literature Teachers, Postsecondary",41500,50800,69400,86200,105200,270.1710371,Doctoral or professional degree
"Foreign Language and Literature Teachers, Postsecondary",44700,53500,70200,92500,109100,122.9051779,Doctoral or professional degree
"History Teachers, Postsecondary",47800,67600,85700,102100,130300,99.05052766,Doctoral or professional degree
"Philosophy and Religion Teachers, Postsecondary",38700,65000,81600,102800,118100,100.3887134,Doctoral or professional degree
"Family and Consumer Sciences Teachers, Postsecondary",50600,62100,81600,108100,147100,28.27874038,Doctoral or professional degree
"Recreation and Fitness Studies Teachers, Postsecondary",40800,52000,70200,90100,107200,88.16494041,Doctoral or professional degree
"Career/Technical Education Teachers, Postsecondary",43100,53300,68000,86500,105900,618.8719156,High School/Trades
"Postsecondary Teachers, All Other",35000,53900,70300,89700,110200,1177.109171,Doctoral or professional degree
"Preschool Teachers, Except Special Education",29300,31200,35900,40200,48900,3499.329024,High School/Trades
"Kindergarten Teachers, Except Special Education",39000,49200,60100,66500,78000,715.9718048,Bachelor's degree
"Elementary School Teachers, Except Special Education",49900,54400,68200,86800,102100,8739.622392,Bachelor's degree
"Middle School Teachers, Except Special and Career/Technical Education",48700,52900,65400,82000,99600,4258.825374,High School/Trades
"Career/Technical Education Teachers, Middle School",48700,56100,65900,80400,99600,52.98821029,High School/Trades
"Secondary School Teachers, Except Special and Career/Technical Education",50700,61100,73000,88100,106200,9317.620393,High School/Trades
"Career/Technical Education Teachers, Secondary School",55200,68500,86800,92200,102500,420.05031,High School/Trades
"Special Education Teachers, Preschool",53000,61100,81800,86000,87000,159.9363741,Bachelor's degree
"Special Education Teachers, Kindergarten and Elementary School",49500,55100,68900,85500,102100,1414.36545,High School/Trades
"Special Education Teachers, Middle School",50400,54700,67900,83300,97800,810.9259442,Bachelor's degree
"Special Education Teachers, Secondary School",48900,63900,79400,88400,102300,1522.135182,Bachelor's degree
"Special Education Teachers, All Other",32200,48100,52700,67100,83100,140.9443094,Bachelor's degree
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",40000,49800,63500,67400,69500,163.8346781,Bachelor's degree
Self-Enrichment Teachers,24900,30900,39100,50000,61200,2380.146436,High School/Trades
"Substitute Teachers, Short-Term",29500,35800,39000,43200,45200,1845.748058,Bachelor's degree
Tutors,22800,31800,47500,72500,99900,1315.371643,High School/Trades
"Teachers and Instructors, All Other",33100,49200,54100,71200,91500,598.3348233,Bachelor's degree
Archivists,39200,48200,61800,80700,103400,48.54308014,Master's degree
Curators,42900,47700,63100,81200,102400,116.0940217,Master's degree
Museum Technicians and Conservators,39800,42200,49000,53100,64600,125.3424643,Bachelor's degree
Librarians and Media Collections Specialists,41600,52100,65400,80700,89200,964.3126237,Master's degree
Library Technicians,29300,32500,38800,49100,61900,717.5178427,High School/Trades
Farm and Home Management Educators,37900,47500,60900,75800,85800,75.36211684,Master's degree
Instructional Coordinators,49600,61300,78800,86900,106700,928.2578164,Master's degree
"Teaching Assistants, Postsecondary",23500,24600,39900,60600,84000,591.7638703,Bachelor's degree
"Teaching Assistants, Except Postsecondary",26000,31200,37800,40900,46300,8551.948497,High School/Trades
"Educational Instruction and Library Workers, All Other",34400,42500,56200,81600,96400,477.7902883,Bachelor's degree
Art Directors,54400,63600,87300,110900,146300,784.2930529,Bachelor's degree
Craft Artists,35600,39100,41100,41400,47600,86.66742304,High School/Trades
"Fine Artists, Including Painters, Sculptors, and Illustrators",26100,39500,52900,69700,74200,161.4034124,Bachelor's degree
Special Effects Artists and Animators,45400,57200,66500,79800,156800,321.606839,Bachelor's degree
"Artists and Related Workers, All Other",30500,32100,43700,64000,107600,73.74482696,High School/Trades
Commercial and Industrial Designers,47000,56400,76500,97100,107600,296.3833677,Bachelor's degree
Fashion Designers,31800,41300,65800,87100,96500,118.8877749,Bachelor's degree
Floral Designers,27400,29800,32100,38000,44300,317.5151424,High School/Trades
Graphic Designers,38300,47500,56200,69400,92400,1912.945247,Bachelor's degree
Interior Designers,39500,47700,59400,69200,85700,583.6892156,Bachelor's degree
Merchandise Displayers and Window Trimmers,33100,36300,39600,47600,54900,1588.073484,High School/Trades
